# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
1,,117,0:03.196.068,107.062 us,8 B,,01,00,   IN txn,20 00 4D 00 6F 00 75 00,, .M.o.u.
2,,118,0:03.196.068,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,119,0:03.196.094,65.062 us,11 B,,01,00,      DATA0 packet,C3 20 00 4D 00 6F 00 75 00 89 B5,,. .M.o.u...
2,,120,0:03.196.163,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,121,0:03.196.180,86.583 us,4 B,,01,00,   IN txn,73 00 65 00,,s.e.
2,,122,0:03.196.180,22.666 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,123,0:03.196.207,44.458 us,7 B,,01,00,      DATA1 packet,4B 73 00 65 00 CE 0F,,Ks.e...
2,,124,0:03.196.255,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,125,0:03.196.273,64.000 us,0 B,,01,00,   OUT txn,,,
2,,126,0:03.196.273,22.645 us,3 B,,01,00,      OUT packet,E1 01 E8,,...
2,,127,0:03.196.298,22.645 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,128,0:03.196.325,11.895 us,1 B,,01,00,      ACK packet,D2,,.
0,,129,0:03.199.219,592.479 us,18 B,,01,00,Get Device Descriptor,12 01 00 02 00 00 00 08 61 04 15 4D 00 02 00 02 00 01,Index=0 Length=18,........a..M......
1,,130,0:03.199.219,106.770 us,8 B,,01,00,   SETUP txn,80 06 00 01 00 00 12 00,,........
2,,131,0:03.199.219,22.645 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
2,,132,0:03.199.244,65.312 us,11 B,,01,00,      DATA0 packet,C3 80 06 00 01 00 00 12 00 E0 F4,,...........
2,,133,0:03.199.314,11.916 us,1 B,,01,00,      ACK packet,D2,,.
1,,134,0:03.199.333,106.833 us,8 B,,01,00,   IN txn,12 01 00 02 00 00 00 08,,........
2,,135,0:03.199.333,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,136,0:03.199.359,65.062 us,11 B,,01,00,      DATA1 packet,4B 12 01 00 02 00 00 00 08 57 E7,,K........W.
2,,137,0:03.199.428,12.000 us,1 B,,01,00,      ACK packet,D2,,.
1,,138,0:03.199.547,107.250 us,8 B,,01,00,   IN txn,61 04 15 4D 00 02 00 02,,a..M....
2,,139,0:03.199.547,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,140,0:03.199.573,65.062 us,11 B,,01,00,      DATA0 packet,C3 61 04 15 4D 00 02 00 02 33 1A,,.a..M....3.
2,,141,0:03.199.642,12.000 us,1 B,,01,00,      ACK packet,D2,,.
1,,142,0:03.199.666,75.729 us,2 B,,01,00,   IN txn,00 01,,..
2,,143,0:03.199.666,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,144,0:03.199.692,33.833 us,5 B,,01,00,      DATA1 packet,4B 00 01 3F 8F,,K..?.
2,,145,0:03.199.730,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,146,0:03.199.748,63.854 us,0 B,,01,00,   OUT txn,,,
2,,147,0:03.199.748,22.645 us,3 B,,01,00,      OUT packet,E1 01 E8,,...
2,,148,0:03.199.773,22.645 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,149,0:03.199.800,11.895 us,1 B,,01,00,      ACK packet,D2,,.
0,,150,0:03.200.628,365.000 us,9 B,,01,00,Get Configuration Descriptor,09 02 22 00 01 01 00 A0 32,Index=0 Length=9,..".....2
1,,151,0:03.200.628,106.520 us,8 B,,01,00,   SETUP txn,80 06 00 02 00 00 09 00,,........
2,,152,0:03.200.628,22.645 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
